CVEGEO,Nombre,CP
30002,Acatlán,91420
30004,Actopan,91481
30004,Actopan,91484
30004,Actopan,91486
30004,Actopan,91488
30004,Actopan,91490
30004,Actopan,91493
30004,Actopan,91495
30004,Actopan,91498
30004,Actopan,91480
30004,Actopan,91482
30004,Actopan,91485
30004,Actopan,91487
30004,Actopan,91489
30004,Actopan,91492
30004,Actopan,91494
30004,Actopan,91496
30006,Acultzingo,94762
30006,Acultzingo,94765
30006,Acultzingo,94767
30006,Acultzingo,94760
30006,Acultzingo,94763
30006,Acultzingo,94766
30160,Álamo Temapache,92733
30160,Álamo Temapache,92735
30160,Álamo Temapache,92737
30160,Álamo Temapache,92750
30160,Álamo Temapache,92753
30160,Álamo Temapache,92755
30160,Álamo Temapache,92760
30160,Álamo Temapache,92763
30160,Álamo Temapache,92769
30160,Álamo Temapache,92730
30160,Álamo Temapache,92734
30160,Álamo Temapache,92736
30160,Álamo Temapache,92740
30160,Álamo Temapache,92752
30160,Álamo Temapache,92754
30160,Álamo Temapache,92756
30160,Álamo Temapache,92762
30160,Álamo Temapache,92764
30009,Alto Lucero de Gutiérrez Barrios,91463
30009,Alto Lucero de Gutiérrez Barrios,91466
30009,Alto Lucero de Gutiérrez Barrios,91469
30009,Alto Lucero de Gutiérrez Barrios,91473
30009,Alto Lucero de Gutiérrez Barrios,91476
30009,Alto Lucero de Gutiérrez Barrios,91478
30009,Alto Lucero de Gutiérrez Barrios,91460
30009,Alto Lucero de Gutiérrez Barrios,91465
30009,Alto Lucero de Gutiérrez Barrios,91468
30009,Alto Lucero de Gutiérrez Barrios,91470
30009,Alto Lucero de Gutiérrez Barrios,91475
30009,Alto Lucero de Gutiérrez Barrios,91477
30011,Alvarado,95253
30011,Alvarado,95259
30011,Alvarado,95261
30011,Alvarado,95264
30011,Alvarado,95266
30011,Alvarado,95269
30011,Alvarado,95272
30011,Alvarado,95275
30011,Alvarado,95277
30011,Alvarado,95250
30011,Alvarado,95258
30011,Alvarado,95260
30011,Alvarado,95263
30011,Alvarado,95265
30011,Alvarado,95268
30011,Alvarado,95270
30011,Alvarado,95274
30011,Alvarado,95276
30011,Alvarado,95278
30014,Amatlán de los Reyes,94943
30014,Amatlán de los Reyes,94946
30014,Amatlán de los Reyes,94952
30014,Amatlán de los Reyes,94954
30014,Amatlán de los Reyes,94956
30014,Amatlán de los Reyes,94958
30014,Amatlán de los Reyes,94940
30014,Amatlán de los Reyes,94945
30014,Amatlán de los Reyes,94950
30014,Amatlán de los Reyes,94953
30014,Amatlán de los Reyes,94955
30014,Amatlán de los Reyes,94957
30014,Amatlán de los Reyes,94959
30017,Apazapan,91646
30017,Apazapan,91649
30017,Apazapan,91645
30017,Apazapan,91647
30019,Astacinga,94813
30019,Astacinga,94810
30019,Astacinga,94815
30021,Atoyac,94961
30021,Atoyac,94965
30021,Atoyac,94967
30021,Atoyac,94969
30021,Atoyac,94960
30021,Atoyac,94964
30021,Atoyac,94966
30021,Atoyac,94968
30023,Atzalan,93683
30023,Atzalan,93685
30023,Atzalan,93688
30023,Atzalan,93690
30023,Atzalan,93693
30023,Atzalan,93695
30023,Atzalan,93697
30023,Atzalan,93680
30023,Atzalan,93684
30023,Atzalan,93687
30023,Atzalan,93689
30023,Atzalan,93692
30023,Atzalan,93694
30023,Atzalan,93696
30023,Atzalan,93698
30026,Banderilla,91302
30026,Banderilla,91304
30026,Banderilla,91306
30026,Banderilla,91300
30026,Banderilla,91303
30026,Banderilla,91305
30026,Banderilla,91307
30028,Boca del Río,94286
30028,Boca del Río,94290
30028,Boca del Río,94294
30028,Boca del Río,94296
30028,Boca del Río,94298
30028,Boca del Río,94285
30028,Boca del Río,94287
30028,Boca del Río,94293
30028,Boca del Río,94295
30028,Boca del Río,94297
30028,Boca del Río,94299
30007,Camarón de Tejeda,94233
30007,Camarón de Tejeda,94230
30007,Camarón de Tejeda,94235
30157,Castillo de Teayo,92941
30157,Castillo de Teayo,92940
30157,Castillo de Teayo,92943
30033,Cazones de Herrera,92973
30033,Cazones de Herrera,92975
30033,Cazones de Herrera,92980
30033,Cazones de Herrera,92984
30033,Cazones de Herrera,92987
30033,Cazones de Herrera,92994
30033,Cazones de Herrera,92970
30033,Cazones de Herrera,92974
30033,Cazones de Herrera,92977
30033,Cazones de Herrera,92983
30033,Cazones de Herrera,92985
30033,Cazones de Herrera,92990
30033,Cazones de Herrera,92997
30054,Chacaltianguis,95563
30054,Chacaltianguis,95575
30054,Chacaltianguis,95560
30054,Chacaltianguis,95570
30054,Chacaltianguis,95576
30056,Chiconamel,92153
30056,Chiconamel,92159
30056,Chiconamel,92161
30056,Chiconamel,92164
30056,Chiconamel,92150
30056,Chiconamel,92154
30056,Chiconamel,92160
30056,Chiconamel,92163
30056,Chiconamel,92165
30058,Chicontepec,92701
30058,Chicontepec,92703
30058,Chicontepec,92705
30058,Chicontepec,92707
30058,Chicontepec,92710
30058,Chicontepec,92713
30058,Chicontepec,92716
30058,Chicontepec,92720
30058,Chicontepec,92724
30058,Chicontepec,92726
30058,Chicontepec,92728
30058,Chicontepec,92700
30058,Chicontepec,92702
30058,Chicontepec,92704
30058,Chicontepec,92706
30058,Chicontepec,92708
30058,Chicontepec,92711
30058,Chicontepec,92715
30058,Chicontepec,92717
30058,Chicontepec,92723
30058,Chicontepec,92725
30058,Chicontepec,92727
30060,Chinampa de Gorostiza,92420
30063,Chontla,92203
30063,Chontla,92205
30063,Chontla,92207
30063,Chontla,92213
30063,Chontla,92215
30063,Chontla,92217
30063,Chontla,92223
30063,Chontla,92226
30063,Chontla,92200
30063,Chontla,92204
30063,Chontla,92206
30063,Chontla,92210
30063,Chontla,92214
30063,Chontla,92216
30063,Chontla,92220
30063,Chontla,92225
30063,Chontla,92227
30035,Citlaltépetl,92234
30035,Citlaltépetl,92256
30035,Citlaltépetl,92259
30035,Citlaltépetl,92230
30035,Citlaltépetl,92240
30035,Citlaltépetl,92257
30035,Citlaltépetl,92268
30037,Coahuitlán,93124
30037,Coahuitlán,93120
30039,Coatzacoalcos,96382
30039,Coatzacoalcos,96384
30039,Coatzacoalcos,96386
30039,Coatzacoalcos,96400
30039,Coatzacoalcos,96410
30039,Coatzacoalcos,96430
30039,Coatzacoalcos,96458
30039,Coatzacoalcos,96470
30039,Coatzacoalcos,96490
30039,Coatzacoalcos,96496
30039,Coatzacoalcos,96499
30039,Coatzacoalcos,96510
30039,Coatzacoalcos,96519
30039,Coatzacoalcos,96523
30039,Coatzacoalcos,96530
30039,Coatzacoalcos,96536
30039,Coatzacoalcos,96538
30039,Coatzacoalcos,96540
30039,Coatzacoalcos,96556
30039,Coatzacoalcos,96558
30039,Coatzacoalcos,96560
30039,Coatzacoalcos,96565
30039,Coatzacoalcos,96567
30039,Coatzacoalcos,96569
30039,Coatzacoalcos,96575
30039,Coatzacoalcos,96577
30039,Coatzacoalcos,96579
30039,Coatzacoalcos,96588
30039,Coatzacoalcos,96598
30039,Coatzacoalcos,96380
30039,Coatzacoalcos,96383
30039,Coatzacoalcos,96385
30039,Coatzacoalcos,96387
30039,Coatzacoalcos,96409
30039,Coatzacoalcos,96420
30039,Coatzacoalcos,96440
30039,Coatzacoalcos,96460
30039,Coatzacoalcos,96480
30039,Coatzacoalcos,96495
30039,Coatzacoalcos,96497
30039,Coatzacoalcos,96500
30039,Coatzacoalcos,96518
30039,Coatzacoalcos,96520
30039,Coatzacoalcos,96529
30039,Coatzacoalcos,96535
30039,Coatzacoalcos,96537
30039,Coatzacoalcos,96539
30039,Coatzacoalcos,96550
30039,Coatzacoalcos,96557
30039,Coatzacoalcos,96559
30039,Coatzacoalcos,96564
30039,Coatzacoalcos,96566
30039,Coatzacoalcos,96568
30039,Coatzacoalcos,96570
30039,Coatzacoalcos,96576
30039,Coatzacoalcos,96578
30039,Coatzacoalcos,96580
30039,Coatzacoalcos,96590
30039,Coatzacoalcos,96599
30041,Coetzala,94893
30041,Coetzala,94890
30043,Comapa,94210
30043,Comapa,94200
30043,Comapa,94216
30045,Cosamaloapan de Carpio,95394
30045,Cosamaloapan de Carpio,95396
30045,Cosamaloapan de Carpio,95398
30045,Cosamaloapan de Carpio,95400
30045,Cosamaloapan de Carpio,95413
30045,Cosamaloapan de Carpio,95415
30045,Cosamaloapan de Carpio,95422
30045,Cosamaloapan de Carpio,95424
30045,Cosamaloapan de Carpio,95426
30045,Cosamaloapan de Carpio,95429
30045,Cosamaloapan de Carpio,95390
30045,Cosamaloapan de Carpio,95395
30045,Cosamaloapan de Carpio,95397
30045,Cosamaloapan de Carpio,95399
30045,Cosamaloapan de Carpio,95412
30045,Cosamaloapan de Carpio,95414
30045,Cosamaloapan de Carpio,95420
30045,Cosamaloapan de Carpio,95423
30045,Cosamaloapan de Carpio,95425
30045,Cosamaloapan de Carpio,95427
30047,Coscomatepec,94142
30047,Coscomatepec,94144
30047,Coscomatepec,94140
30047,Coscomatepec,94143
30047,Coscomatepec,94149
30049,Cotaxtla,94992
30049,Cotaxtla,94994
30049,Cotaxtla,94996
30049,Cotaxtla,94990
30049,Cotaxtla,94993
30049,Cotaxtla,94995
30049,Cotaxtla,94997
30051,Coyutla,93144
30051,Coyutla,93147
30051,Coyutla,93152
30051,Coyutla,93154
30051,Coyutla,93158
30051,Coyutla,93140
30051,Coyutla,93146
30051,Coyutla,93150
30051,Coyutla,93153
30051,Coyutla,93157
30053,Cuitláhuac,94912
30053,Cuitláhuac,94916
30053,Cuitláhuac,94918
30053,Cuitláhuac,94910
30053,Cuitláhuac,94915
30053,Cuitláhuac,94917
30065,Emiliano Zapata,91633
30065,Emiliano Zapata,91635
30065,Emiliano Zapata,91637
30065,Emiliano Zapata,91640
30065,Emiliano Zapata,91644
30065,Emiliano Zapata,91630
30065,Emiliano Zapata,91634
30065,Emiliano Zapata,91636
30065,Emiliano Zapata,91639
30065,Emiliano Zapata,91643
30067,Filomeno Mata,93110
30067,Filomeno Mata,93100
30067,Filomeno Mata,93116
30069,Gutiérrez Zamora,93552
30069,Gutiérrez Zamora,93556
30069,Gutiérrez Zamora,93558
30069,Gutiérrez Zamora,93560
30069,Gutiérrez Zamora,93564
30069,Gutiérrez Zamora,93568
30069,Gutiérrez Zamora,93550
30069,Gutiérrez Zamora,93553
30069,Gutiérrez Zamora,93557
30069,Gutiérrez Zamora,93559
30069,Gutiérrez Zamora,93562
30069,Gutiérrez Zamora,93566
30069,Gutiérrez Zamora,93569
30071,Huatusco,94103
30071,Huatusco,94107
30071,Huatusco,94110
30071,Huatusco,94117
30071,Huatusco,94100
30071,Huatusco,94106
30071,Huatusco,94108
30071,Huatusco,94113
30073,Hueyapan de Ocampo,95853
30073,Hueyapan de Ocampo,95855
30073,Hueyapan de Ocampo,95857
30073,Hueyapan de Ocampo,95862
30073,Hueyapan de Ocampo,95864
30073,Hueyapan de Ocampo,95866
30073,Hueyapan de Ocampo,95868
30073,Hueyapan de Ocampo,95850
30073,Hueyapan de Ocampo,95854
30073,Hueyapan de Ocampo,95856
30073,Hueyapan de Ocampo,95858
30073,Hueyapan de Ocampo,95863
